word	and	arch	bezhh	bezht	bud	cham	chamg	gin	gunz	hin	inh	kryz	lak	rutl	tsah	tsahg	tsahts	tsez
plesen'	NA	4	NA	NA	4	3	3	4	NA	4	4	4	4	4	3	4	4	4
plita kamennaja dlja ukreplenija kraev kryshi	5	4	5	5	NA	3	5	4	5	4	3	4	4	3	3	3	3	2
pochka	4	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3
podborodok	4	3	4	4	4	5	3	4	4	3	5	4	3	4	4	4	4	2
podkova	5	4	4	4	4	3	3	4	4	4	3	3	4	3	3	3	3	4
podmyshka	NA	NA	NA	NA	4	NA	NA	NA	NA	4	NA	4	4	4	4	4	4	NA
pojas	4	4	4	4	4	4	4	3	4	3	4	4	4	3	3	3	3	3
pol zemljanoj	4	4	3	3	4	3	3	2	3	4	5	4	3	3	3	3	3	2
pole	4	4	3	3	4	4	4	3	3	4	4	4	4	4	4	4	4	3
poleno, drova	5	4	3	3	4	3	3	4	3	4	3	4	4	4	4	4	4	4
poloska kozhi, remeshok	4	4	5	5	4	5	5	2	5	4	3	3	4	4 3	3	3	3	2
pomet (a) ovtsy	5	4	NA	4	4	4	3	NA	4 3	3	5 3	3	NA	4	NA	NA	NA	3
pomet (b) loshadi	5	NA	NA	NA	4	3	3	NA	3	3	3	3	4	3	NA	NA	NA	4
pomet (c) korovy	5	NA	NA	NA	4	4	4	4	3	4	NA	4	NA	4	NA	NA	NA	4
pomet (d) ptitsy	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	4	NA	4	NA	NA	NA	NA
pomet (e) melkih zhivotnyh	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	4	NA	4	NA	NA	NA	NA
pomet zhivotnyh (obschee)	4	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	3	NA	4	4	4	NA
postel' (mesto dlja span'ja)	5	3	3	5	NA	3	3	3	3	4	3	NA	3	4	3	3	3	3
posuda (sobir.)	5	4	4 4	3 4	4	NA	4	4	4	PL	4	4	3	PL	PL	PL	PL	4
pot	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
potolok	5	PL	4	4	4	3	4	NA	NA	4	3	3	4	4	4	4	4	NA
pricheska muzhskaja, chub	5	3	4	4	4	3	5	2	3	4	3	3	3	4	3	3	3	4
proso	5	3	4	4	3	3	3	4	4	4	3	4	3	3	3	3	3	3
prysch	NA	3	3	3	4	5	3	4	3	3	3	3 4	4	3	3	3	3	4
pshenitsa	5	NA	3	3	4	NA	NA	4	3	3	4	4	3	NA	3	3	3	4
ptitsa	3	4	3	NA	3	3	3	NA	3	3	5	3	3	3	3	3	3	NA
ptitsa chernaja (galka, grach, skvorets)	3	3	NA	NA	3	3	3	NA	NA	3	5	4	3	3	3	3	3	NA
ptitsa dlinnonogaja (zhuravl', tsaplja, aist)	PL	3	3	3	3	3	3	3	3	3	3	3	3	3	NA	NA	3	3
ptitsa hischnaja (orel, sokol, jastreb)	3 3	3 3 3	3 3 3	3 3 3 3	3 3 3	3 5 5 3	5 5 3 3	3 3	3 3 3	3 3	3 5	3 3 3	3 3 3 3	3 3	3 3	3 3 3	3 3 3	3 3
ptitsa hischnaja nochnaja (sova, filin)	3	3	3	3	3	3	3	3	3 3	3	3	3	3	3	3	3	3	3
pugovitsa	5	3 4 3	4 3 4	4	3	3	5	3	3	3	3	3	3	3 3	4	4	4	3
pupok	4	4	3	3	4	5	5	3	3	4	3	3	4	3	4	4	4	3
pyl'	5	4	4	4	4	4	4	3	4	4	3	4	3	4 4	4	4	4	3
rana	4	4	4 4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4
razvaliny	NA	4	4	4	4	3	3	2	4	NA	4	3	4	4	3	3	4	2
rech', slovo	5	4	4	4	4	3	NA	4	4	3	4	3	3	3	4	4	4	4
reka	4	4	5	5	3	NA	NA	NA	5	3	NA	3	NA	3	3	3	3	3
reka bol'shaja	NA	NA	NA	NA	NA	4	4	2	NA	NA	3	NA	4	NA	NA	NA	NA	NA
reka malen'kaja	NA	NA	NA	NA	NA	4	4	2	NA	NA	3	NA	3	NA	NA	NA	NA	NA
resnitsa	5	4	4	4	4	NA	4	4	4	3	4	4	NA	4	3	3	4	4
rodnik	5	3	NA	NA	3	3	3	3	3	3	3	3	3	3	3	3	3	3
rog	5	3	5	5	4	3	3	5	5	3	5	4	3	3	3	3	3	2
rosa	5	3	4	4	4	3	3	4	4	4	3	4	4	4	3	4	4	3
rot	5	4	5	5	4	4	4	3 4	5 5	3	5 4	4	3 3	4	4	4	4	4 2
rozh'	5	NA	4	4	4	3	NA	NA	5	3	4	4	3	3	3	3	3	NA
rubashka	4	3	4	4	3	5	5	2	5	3	5	3	3	3	3 4	4	3 4	2
ruchej, raspadok	5	4	4	4	4	4	4	4	4	3	3	3 3	4	3	3	3	3 3	3
ruka (a)	NA	4	4	4	4	NA	NA	4	NA	4	NA	4 4	4	4	4	4	4	4
ruka (b)	4	NA	5	5	NA	3	5	2	5	NA	4	NA	4	NA	3	3	3	3
rukav	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4
rukavitsa	4	4	4	4	4 4	4	4	4	4	4	4	4	4	4	4	4	4	4
rukojatka (nozha, sabli)	4	4	3	3	4	4	3	3	3	4	3	4	3	3	3	3	3	3
ryba	3	3	3	3	3	5	3	3	3	3	3	3	3 3 3	3	4	4	4	3
sablja	4	4	4	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	4
samets	1	NA	3	3	NA	1 3	1 3	1 3	3	NA	1 3 4	4	NA	NA	3	1	NA	3
samka	4	NA	3	3	3	2	NA	3 2	3	NA	2 4	4	NA	NA	3	2	NA	3
sani	4 4	NA	4	4	4	3	3	3	4	4	3	4	4	4	3	3	3	3
sapog (vojlochnyj, vjazanyj)	5	4	4	4	4	3	3	NA	4	4	4	4	NA	4	4	4	4	3
scheben', kamennye oskolki	4	3	3 3	3	NA	4	NA	3	3	3	3	3	3	4 4	3	3	4	4
scheka	5	4	3	3	3	5	5	4	3	3	4	3	4	3	3	3	3	4
schenok	3	4	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3
schepka	NA	NA	4 4	4 4	4	4	4	4	4	3	4	3	4	4	3	3	4	4
schiptsy dlja uglej	5	3	3	3	4	3	3	3	3	3	3	4	3	4	4	4	4	3
sedlo	NA	NA	NA	NA	NA	4	4	NA	NA	4	4	NA	NA	NA	NA	NA	NA	NA
sedlo (a) ezdovoe	4	4	4	4	4	NA	NA	4	4	NA	NA	4	4	4	3	3	3	4
sedlo (b) guzhevoe	5	4	3	3	4	NA	NA	4	3	NA	NA	4	4	3	3	3	3	4
selenie	4	4	4	4	4	4	4	3	4	4	3	3	4 4	3	3	3	3	3
selenie (b) hutor	5	4	4	4	3	3	3	4	4	NA	4	4	4	NA	NA	NA	NA	2
selezenka	4	4	3	3	4	3	PL	3	3	4	5	4	4	3	3	3	3	3
semja	4	4	4	4	3	4	4	3	4	3	4 4	3	3	3	3	3	3	4
senoval, saraj	5	4	3	3	4	3	3	2	3	3 4	3	4	4	3	3	3	3	2
serdtse	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
serebro, den'gi	5	4	4	4	4	3	3	3	4	4	3	4 4	4	4	4	4	4	3
serp	5	4	3	3	NA	NA	3	3	3	NA	NA	NA	NA	4	3	NA	NA	NA
serp (a) prjamoj	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA
serp (b) krivoj	NA	NA	NA	NA	3	3	NA	NA	NA	4	3	3	3	NA	NA	3	3	3
set'	4	4	5	5	3	5	3	NA	5	4	NA	4	4	NA	4	4	4	NA
sheja	5	4	3	3	4	5	3	3	3	3	3	3	4	3	3	3	3	3
sherst' koz'ja	NA	4	4	4	4	4	4	3	4	4	4	3	4	3	4	4	4	4
sherst' ovech'ja	NA	4	NA	NA	3	NA	NA	NA	NA	3	NA	4	4	NA	NA	NA	NA	NA
sherst' ovech'ja (a) vesennjaja	4	NA	NA	4	NA	4	4	4	4	NA	4	NA	NA	4	3	3	3	4
sherst' ovech'ja (b) osennjaja	4	NA	4	4	NA	4	4	4	4	NA	4	NA	NA	4	3	3	3	4
shilo	4	4	5	5	4	5	4	2	5	3	5	3	4	4	4	4	4	2
shkura kozy	5	3	NA	3	NA	3	3	NA	3	NA	3	NA	4	NA	NA	NA	NA	NA
shkura krupnokopytnogo	5	3	3	3	4	5	3	3	3	4	3	4	3	4	4	4	4	3
shkura melkokopytnogo	NA	NA	3	NA	4	NA	NA	3	NA	4	NA	4	NA	4	4	4	4	3
shkura ovtsy	4	4	NA	3	NA	3	4	NA	3	NA	3	NA	3	NA	NA	NA	NA	NA
shtany	4	3	5	5	3	4	4	2	5	4	3	4	4	3	3	3	3	2
shumovka	5	3	NA	NA	4	4	4	NA	NA	3	4	4	3	4	3	3	3	4
sito	4	3	3 3	3	3	5	5	3 4	3	NA	3	NA	4	NA	NA	NA	NA	3
sito (a) dlja muki	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA	3	3	3	3	NA
sito (b) dlja zerna	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	3	NA	3	4	3 3	3 3	NA
skala, skalistyj sklon	5	4	3 4	3 4	3	5	5	2	3 4	4	5	4	4 3	4 4	4	4	4	2
skazka	5	3	3	3	3	3	3	3	3	3	3	4	3	4	3	3	3	3
sklon solnechnyj	5	4	4	NA	4	3	3	NA	3	4	3	3	3	3	4	4	4	NA
sklon tenevoj	5	4	4	NA	4	3	3	NA	3	4	5	3	3	3	4	4	4	NA
slepen'	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
sleza	4	4	5	5	4	5	5	2	5	4	5	4	4	4	4	4	4	2
sliva	4	3	4	4	3	3	3	3	4	4	3	3	3	3	3	3	3	3
sljuna	5	4	5	NA	3	4	4	2	5	4	5	4	NA	NA	NA	NA	NA	2
sljuna (a)	NA	NA	4	4	NA	NA	NA	NA	NA	NA	NA	NA	4	4	4	4	4	NA
sljuna (b)	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	4	4	4	4	4	NA
smetana	5	4	4	4	4 4	5	4	2	4	3	3	4	4	3	4	4 3	4 3	3
smola	5	3	3	3	3	3	3	3	3	3	4	NA	3	4	4	4	4	2
sneg	4	3	5	5	4	5	5	2	5	3	5	4	3	4	4	4	4	2
snop	5	3	4	4	3	3	3	4	4	4	4	3	3	3	3	3	3	NA
snovidenie	4	4	5	5	4	5	5	5	5	4	5	4	4	4	4	4	4	5
sobaka	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
soha	4	4	4	4	4	4	4	2	4	4	4	3	4	4	4	4	4	2
sol'	4	4	4	4	3	4	4	4	4	4	4	4	3	3	3	3	3	4
solntse	5	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3
solod	5	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3
soloma	5	3	5	5	3	3	3	3	5	4	3	4	4	NA	NA	4	4	3
soplja	5	3	4	4	4	3	3	4	4	3	4	4	3	3	3 4	4 4	3	4
sornjak	5	4	4	4	4	3	3	4	4	3	3 4	4	4	NA	4	4	4	4
soroka	3	4	NA	NA	3	3	3	NA	3	3	3	3	3	3	3	3	3	NA
soshnik	5	4	3	3	3	3	5	4	3	4	3	3	4	4	3	3	3	2
sosok	5	3	3	3	NA	3	NA	3	NA	NA	NA	NA	NA	3	NA	NA	NA	3
sosok (a)	NA	NA	NA	NA	3	NA	3	NA	3	3	3	4	3	NA	3	3	3	NA
sosok (b)	NA	NA	NA	NA	3	NA	3	NA	4	3	5	3	3	NA	3	3	3	NA
sperma	5	4	4	4	3	3	3	4	4 4	4	4	3	3	3	3	3	3	4
spina	5	4	3	3	4	5	3 3 5	3	3	4	5	4	4	4	PL	4	4	2
spitsa vjazal'naja	5	3	4	4	3	3	3	3	4	4	3	3	3	3	3	3	3	3
stena	5	3	4	4	3	4	4	4	4	3	5	3	3	4	4	4	4	3
stog	NA	3	4 3	NA	3 4	3	3 3	NA	NA	4	3	4 3 3	NA	4 3	3 3	3 3	3 3	NA
stog (a) bol'shoj	5	NA	NA	3	NA	NA	NA	3	3	NA	NA	NA	3 3	NA	NA	NA	NA	3
stog (b) malen'kij	5	NA	NA	3	NA	NA	NA	4	3 3 3	NA	NA	NA	3	NA	NA	NA	NA	3
stojachaja voda (ozero, luzha)	5 4	3	3	3	3	3	3 5	3	3	3	3	3 3	3	3	3	3	3	3 3
stolb opornyj	5	4	NA	NA	4	3	3	3	3	4	3	4 4	4	3	3	3	3	3
strela	5	4	4	4	3 3	4	3	4	4	4	4	3	4	4	3	3	3	2
stremja	5	4	4	4	4	3	3	4	4	4	4	4	4	4	4	4	4	4
stupnja	5	3	3	3	4	3	3	3	3	4	3	4	3	NA	4	4	4	3
suka	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
sunduk	4	3	3	3	3	3	3	2	3	3	5	4	3	4 3	3 3	3 3	3 3	3 2
sustav	5 4	NA	3	3	4	NA	4	NA	3	3	4	3	3	3	4	4	4	3
svad'ba	5	4	4	4	4	3	4	4	3	4	3	4	3	3	PL	PL	PL	3
svet	NA	4	4	4	4	4	4	3	4	4	4	4	3	4	4	4	4	3
svinets	5	4	4	4	3	3	3	3	4	4	3	3	4	4	4	4	4	3
svjazka snopov v pole	5	3	3	3	PL	3	5	4	4	3	NA	PL	4	4	4	NA	4	4
sychug	5	3	3	3	3	5	4	4	3	3	3	3	4	3	3	3	3	3
syr (brynza)	4	4	4 5	4 5	NA	5 5	5	NA	5	4	5	NA	4	4	4	4	4	2 4
syr (tvorog)	4	4	4	4	NA	5	5	NA	4	3	NA	NA	4	3	3 3	3 3	3 3	4
syvorotka	4	3	5	5	4	5	5	2	5	3	5	4	3	3	3	3	3	2
taburet	5	3	4	4	NA	3	3	4	4	3	3	4	3	3	3	3	3	4
tanets	4	4 3	4	4	NA	4	4	4	4	3	4	3	4	3	3	3	3	4
telenok (do odnogo goda)	3	4	3	3	3	3	3	3	3	3	5	3	3 3	3 3 3	3	3	3	3
telka (ot odnogo goda do treh let)	3 3	4	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3
telo	5 5 5	3	3 3	3	4	3 3	3 3 3	3	3	4	3	4 4	3	4 4	4	4	4	3
ten'	5	3	4	4	4 4	3	3	4	4	4	3	3	4	3	3	3	3	3
testo	5	4	4	4	3	3	3	4	4	4	4	3	4	4	4	4	4	4
tkatskij stanok	NA	PL	3	3	4	4	3	NA	3	4	NA	PL	NA	4	4	4	4	NA
tmin	5	4	4	4	4	3	3	4	3	3	3	NA	3	NA	NA	NA	NA	4
tochilo	NA	NA	NA	NA	3	5	NA	NA	5	4	5	3	NA	NA	NA	NA	NA	NA
tochilo (a) ploskoe	4	4	5	5	NA	NA	5	2	NA	NA	NA	NA	3	3	3	3	3	2
tochilo (b) krugloe	4	4	4	4	NA	NA	3	2	NA	NA	NA	NA	4	3	4	4	4	2
tolokno	4	4	4	4	3	4	4	4	4	4	3	4	3	3	3	3	3	3
topkoe mesto	5	3	4	4	4	3	3	3	4	3	3	PL	3	4	4	4	4	3
topor	4	4	4	4	4	4	4	2	4	3	4	3 4	4	4	4	4	4	4
trava	5	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	2
trut	5	NA	3	3	4	3	5	NA	3	4	3	4	3	4	3	3	3	3
tsep'	4	4	5	4	4	5	5	4	4	4	4	4	4	3	3	3	3	4
tsvetok	4	4	4	3	4	4	4	4	4	3	4	4	3	4	4	4	4	3
tulup, shuba	5	3 3	4	4	3	5 5	4	2	3	4	3	3	3	4	4	4	4	3
tuman	NA	3	NA	NA	4	NA	NA	NA	NA	NA	NA	4	NA	NA	3	3	3	NA
tusha	5	3	3	3	4	3	3	3	4	4	3	4	3	4	4	4	4 4	3
ugol	NA	3	3	3	3	3	3	NA	3	3	3	3	3	NA	NA	NA	NA	NA
ugol (a) vnutrennij	4	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	3	3	3	3	3
ugol (b) vneshnij	5	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	3	3	3	3	3
ugol' drevesnyj	5	4	5	5	4	5	5	2	5	4	5	4	4	3	3	3	3	2
uho	5	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4
ular, gornaja indejka	NA	3	NA	NA	NA	3	3	3	NA	3	3	3	3	3	3	3	3	NA
us	5	3	3	3	4	3 5	3	3	4	4	5	3	4	3	4	3	3	3
utro	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4	NA	4	NA	4	4	4	4
uzdechka	4	4	4	5	4	5	3 4	4	4	4	3	4	4	4	4	4	4	4
v'juk	NA	4	4	4	4	4	NA	NA	4	NA	NA	NA	NA	4	NA	NA	NA	4
v'juk (a) tsel'nyj	5	NA	NA	NA	NA	NA	NA	4	NA	4	3	4	4	NA	NA	NA	NA	NA
v'juk (b) dvustoronnij	5	NA	NA	NA	NA	NA	4	NA	NA	4	4	4	NA	NA	4	4	4	NA
venik	5	4	3	3	3	5	5	3	3	4	5	3	3	4	3	3	3	3
venik (b) metla	5	NA	NA	NA	3	3	3	NA	NA	4	3	NA	3	3	3	3	3	NA
vereteno	4	4	4	4	4	3	3	4	4	4	4	4	4	3	4	4	4	4
verevka	4	3	3 4 4	4	3	3	5	4	4	4 4	4	4	3	3 3	3	3	3	4
vesch', predmet	5	4	4	4	4	3	4	3 4 5	3 4 5	4	4	4	4	4	4	4	4	4
vesna	NA	4	NA	NA	4	5	5	3	3	4	5	4	4	NA	4	4	4	3
veter	5	3 3	4	4	4	3	3	4	4	3	4	3	3	3	4	4	3	4
vetka	5	4	3	3	4	4	4	3	3	4	4	3	4	4	3	4	4	4
vilka	5	4 3	3	3	3	3	3	3	3	4	4	3	4	4	4	4	4	4
vily	5	4	3	3	3	3	3	4	3	3	3	3	3	4	4	4	4	3
vinograd	5	3	3	3	4	4	4	3	3	3	4	3	3	3	4	4	4	3
vlagalische	4	3	3	3	3	3 3	3 3	3	3 3 3	3 3 3	3	3	3	3	3	3	3	3
voda	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
vol	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
volk	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
volos	5	4	4	4	4	4	4	3	4	3	4	3	4	3	4	3	4	3
vorona	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3 3	3
vosh'	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3
vydelenija iz glaz	5	4	5	5	4	3	3	2	4	3	4	4	3	4	4	4	4	4
vymja	4	4	3	3	4	5	5	3	3	4	5	4	4	4	4	4	4	2
zad	5	NA	NA	NA	3	4	4	4	3	3	NA	4	3	NA	3	3	3	4
zagon dlja dojki ovets	NA	3	3 3	3 3	4	5	3 3	3	3 3	NA	3	4	4	4	3	3	3	4
zajats	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
zamok	PL	4	4	4	3	4	4	4	4	4	4	4	4	3	4	4	4	4
zastezhka	5	NA	NA	NA	NA	5	3	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA
zastezhka (a) nakidnaja verevochnaja petlja	NA	4	NA	NA	NA	3	NA	NA	NA	3 4	NA	NA	3	3	3	3	3	NA
zastezhka (b) prjazhka	NA	4	3	3	3	3	NA	4	4	4	3	4	3	4	4	4	4	4
zemlja, pochva	4	4	3	3	4	4	4	4	3	4 3	4	4	4	3	3	3	3	4
zemlja, razmjakshaja ot dozhdja; zemljanoj rastvor	5 5	4	4	4	4	3	3	3	4	4	4	3	4	3 4	4	4	4	3
zemljanika	4	3	5	5	4	5	4	3	5	NA	5	3	3	4	4	4	4	2
zerkalo	4	4	3	3	4	5	5	2	3	4	3	4	4	4	3	3	3	3
zerno (sobir.)	5	3	4	4	3	3	3	3	4	3	4	NA	3	3	3	3	3	4
zernyshko	5	3	3	3	3	5	3	3	3	4	3	3	3	3	3	3	3	3
zharenoe zerno	3	3	4	4	4	3	3	3	4	3	3	4	3	NA	NA	NA	NA	3
zhelch'	5	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3
zhelezo	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
zhelob	NA	NA	NA	NA	3	NA	3	NA	NA	3	NA	3	3	NA	NA	NA	NA	NA
zhelob (a) dlja zerna na mel'nitse	5	3	3 4	4	NA	3	NA	4	4	NA	5	NA	NA	NA	NA	NA	NA	4
zhelob (b) dlja vody na mel'nitse	5	3	3	3	3	3	NA	4	3	NA	4	3	NA	3	3	3	3	4
zheludok	NA	4	4	4	3	4	3	4	4	3	4	3	4	3	3	3	3	4
zherd'	NA	3	3	3	4 4 3	NA	4	4 3	3	4	3	4	3	4	3	4	3 3	4
zherebenok	3	4	3 3 3	3 3 3	3	3	3	3	3	3	5	3	3	3	3	3	3	3
zherebets	3	NA	3	3	3	3 3	3	3	3	3	3	3	3	3	3	3	3	3
zhila	5	NA	NA	NA	3	NA	NA	NA	NA	4	NA	3	NA	NA	3	3	3	NA
zhila (a)	NA	3	3	3	NA	3	3	3	3	NA	3	NA	3	3	NA	NA	NA	3
zhila (b)	NA	3	3	3	NA	3	3	3	3	NA	3	NA	3	3	NA	NA	NA	3
zhir	4	4	5	5	4	3	3	2 2	5	3	5	4	4	4	4	4	4	2
zhivot	4	4 3	4	4	3	4	4	NA	NA	4	4	3	NA	NA	NA	NA	NA	NA
zima	NA	4	3	3	4	5	5	3	3	4	5	4	4	NA	4	4	4	3
zmeja	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3
zola	4	4	5	5	4	4	4	4	5	4	5	4	3	3	3	3	3	2
zoloto	5	4	4	4	4	3	3	3	4	4	3	4	4	4	4	4	4	3
zub	4	4	4	4	4	5	5	4	4	4	5	4	4	4	4	4	4	2
zver' pushnoj (laska, kunitsa, belka)	3 3	4 4	3 3 3	3 3 3	3	3	3 3	3	3 3	3 3	3 3	3 3	3	3 3	3 4	3 3	3 4	3
zvezda	5	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3
zvuk	4	NA	3	3	NA	NA	NA	NA	4	NA	NA	NA	NA	4	NA	NA	NA	3
